Project Name,Address,SAMIS Project ID,Building ID,Management name,BIN (NYC DOB),Floodplain,Tract GEOID (2020 Census),School district,School district SDL code,Latitude,Longitude,County,Total project units,Owner name,Number of bldgs in project,Building units,Date in service,Construction Type (New / Rehab),Tax Parcel Print Key,Congressional District (current),Assembly District (current),State Senate District (current),x,y
FREDERICK DOUGLASS PHASE III,"488-494 N DIVISION ST, BUFFALO, 14210",20030417-01341,0122258,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001403,BUFFALO CITY SD,140600,42.88020864,-78.85685427,ERIE,45,"FREDERICK DOUGLASS ASSOCIATES, III, L.P.",9,4,8/23/2005,NEW,111.19-2-1.13,26,141,63,185006.2602217542,4754732.232182909
FREDERICK DOUGLASS PHASE III,"495-503 N DIVISION ST, BUFFALO, 14210",20030417-01341,0122259,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001403,BUFFALO CITY SD,140600,42.88027276,-78.85656811,ERIE,45,"FREDERICK DOUGLASS ASSOCIATES, III, L.P.",9,5,8/23/2005,NEW,111.19-2-1.13,26,141,63,185029.9605466968,4754738.281423952
FREDERICK DOUGLASS PHASE III,"40-46 MARY JOHNSON BLVD, BUFFALO, 14210",20030417-01341,0122260,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001403,BUFFALO CITY SD,140600,42.88078336,-78.85506919,ERIE,45,"FREDERICK DOUGLASS ASSOCIATES, III, L.P.",9,4,8/23/2005,NEW,111.19-2-1.13,26,141,63,185154.99310245435,4754789.37599138
FREDERICK DOUGLASS REDEV.- PHASE II,"180 JEFFERSON AVE, BUFFALO, 14204",20001273-01041,0118753,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001403,BUFFALO CITY SD,140600,42.88009743,-78.85425512,ERIE,112,"FREDERICK DOUGLAS ASSOCIATES II, L.P.",2,56,4/15/2003,REHAB,111.19-2-1.12,26,141,63,185217.99344174896,4754710.144666766
FREDERICK DOUGLASS REDEV.- PHASE II,"210 JEFFERSON AVE, BUFFALO, 14204",20001273-01041,0118754,CORNERSTONE PROPERTY MANAGERS LLC,NA (Outside NYC),,36029001403,BUFFALO CITY SD,140600,42.88072058,-78.85403946,ERIE,112,"FREDERICK DOUGLAS ASSOCIATES II, L.P.",2,56,4/15/2003,REHAB,111.19-2-1.12,26,141,63,185238.78136991255,4754778.547138549
FREDONIA COMMONS,"450 TEMPLE ST, FREDONIA, 14063",20020616-01126,0124402,"CHAUTAUQUA OPPORTUNITIES, INC.",NA (Outside NYC),,36013035901,FREDONIA CSD,62201,42.45316997,-79.34884845,CHAUTAUQUA,36,FREDONIA COMMONS AFFORDABLE HOUSING INC.,5,8,10/24/2004,NEW,101.00-2-8.8,23,150,57,142374.52693075768,4709263.479773499
FREDONIA COMMONS,"450 TEMPLE ST, FREDONIA, 14063",20020616-01126,0124403,"CHAUTAUQUA OPPORTUNITIES, INC.",NA (Outside NYC),,36013035901,FREDONIA CSD,62201,42.45316997,-79.34884845,CHAUTAUQUA,36,FREDONIA COMMONS AFFORDABLE HOUSING INC.,5,8,8/30/2004,NEW,101.00-2-8.8,23,150,57,142374.52693075768,4709263.479773499
FREDONIA COMMONS,"450 TEMPLE ST, FREDONIA, 14063",20020616-01126,0124404,"CHAUTAUQUA OPPORTUNITIES, INC.",NA (Outside NYC),,36013035901,FREDONIA CSD,62201,42.45316997,-79.34884845,CHAUTAUQUA,36,FREDONIA COMMONS AFFORDABLE HOUSING INC.,5,8,8/30/2004,NEW,101.00-2-8.8,23,150,57,142374.52693075768,4709263.479773499
FREDONIA COMMONS,"450 TEMPLE ST, FREDONIA, 14063",20020616-01126,0124405,"CHAUTAUQUA OPPORTUNITIES, INC.",NA (Outside NYC),,36013035901,FREDONIA CSD,62201,42.45316997,-79.34884845,CHAUTAUQUA,36,FREDONIA COMMONS AFFORDABLE HOUSING INC.,5,8,6/29/2004,NEW,101.00-2-8.8,23,150,57,142374.52693075768,4709263.479773499
FREDONIA COMMONS,"450 TEMPLE ST, FREDONIA, 14063",20020616-01126,0124406,"CHAUTAUQUA OPPORTUNITIES, INC.",NA (Outside NYC),,36013035901,FREDONIA CSD,62201,42.45316997,-79.34884845,CHAUTAUQUA,36,FREDONIA COMMONS AFFORDABLE HOUSING INC.,5,4,6/29/2004,NEW,101.00-2-8.8,23,150,57,142374.52693075768,4709263.479773499
FREDONIA SPECIAL NEEDS SRO,"4883 W MAIN RD, POMFRET, 14063",20060023-01635,0165154,SOUTHERN TIER ENVIRONMENTS FOR LIVING,NA (Outside NYC),,36013036000,FREDONIA CSD,62201,42.41850225,-79.37857585,CHAUTAUQUA,24,"FREDONIA SPECIAL NEEDS, L.P.",1,24,7/30/2008,NEW,129.00-4-31,23,150,57,139730.54555508104,4705538.9964945875
FREEDOM COMMONS 2016,"450 BURT ST, SYRACUSE, 13202",20166012-02090,0249600,SYRACUSE HOUSING AUTHORITY,NA (Outside NYC),,36067004200,SYRACUSE CITY SD,421800,43.03819649,-76.14534303,ONONDAGA,54,FREEDOM COMMONS LLC,1,54,7/21/2019,NEW,94.00-16-1.1,22,128,48,406702.3890931931,4765692.934314871
FREEDOM HOMES,"1680 STRAWBERRY RD, YORKTOWN, 10547",20080400-01828,0206127,,NA (Outside NYC),,36119014813,LAKELAND CSD,662401,41.32832993,-73.85566572,WESTCHESTER,3,FREEDOM GARDENS FOR THE HANDICAPPED INC.,1,3,6/27/2013,NEW,15.12-1-38,17,95,40,595761.9293924624,4575837.398989547
FREEMAN-SIMPSON PLAZA,"1238 SIMPSON ST, BRONX, 10459",20010747-01103,0110243,WMW REALTY MANAGEMENT LLC,2103548,,36005012500,NYC GEOG DIST #12 - BRONX,321200,40.829839,-73.892542,BRONX,67,FREEMAN-SIMPSON LLC,1,67,6/16/2004,NEW,2-2975-13,15,85,32,593378.8905230212,4520457.931323001
FRIENDLY TOWERS,"1262 NELSON AVE, BRONX, 10452",20050300-01560,0134976,PRESTIGE MANAGEMENT INC.,2115822,,36005021100,NYC GEOG DIST # 9 - BRONX,320900,40.83933437,-73.92412944,BRONX,33,"FRIENDLY NELSON, L.P.",1,33,10/30/2008,NEW,2-2517-15,15,77,29,590702.5033480775,4521478.821305373
FROST STREET APARTMENTS,"59 FROST ST, Brooklyn, 11211",20126007-01949,0223851,PRESTIGE MANAGEMENT INC.,3418255,100-year,36047051500,NYC GEOG DIST #14 - BROOKLYN,331400,40.71774503,-73.94948824,KINGS,47,FROST STREET APARTMENT LLC,2,38,3/29/2015,NEW,3-2732-30,7,50,59,588726.2170422615,4507955.487046417
FROST STREET APARTMENTS,"59 FROST ST, Brooklyn, 11211",20126007-01949,0246388,PRESTIGE MANAGEMENT INC.,3418255,100-year,36047051500,NYC GEOG DIST #14 - BROOKLYN,331400,40.71774503,-73.94948824,KINGS,47,FROST STREET APARTMENT LLC,2,9,3/29/2015,NEW,3-2732-30,7,50,59,588726.2170422615,4507955.487046417
FRUITBELT NEW CONSTRUCTION,"356 CARLTON ST, BUFFALO, 14204",19930594-01318,0002114,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89858134,-78.85519302,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,7/8/1991,NEW,100.81-7-28,26,141,63,185235.53872375266,4756766.570088705
FRUITBELT NEW CONSTRUCTION,"375 CARLTON ST, BUFFALO, 14204",19930594-01318,0002115,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89822893,-78.85481115,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,1/14/1992,NEW,111.25-5-4.1,26,141,63,185264.92545748723,4756725.999401003
FRUITBELT NEW CONSTRUCTION,"36 CAYUGA ST, BUFFALO, 14211",19930594-01318,0002120,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89944455,-78.85251599,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,6/19/1991,NEW,100.82-1-19.12,26,141,63,185458.52897798375,4756852.418693141
FRUITBELT NEW CONSTRUCTION,"359 FULTON ST, BUFFALO, 14210",19930594-01318,0002124,,NA (Outside NYC),,36029016400,BUFFALO CITY SD,140600,42.87134704,-78.85753793,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,4/22/1991,NEW,122.33-4-1,26,142,63,184905.26339907188,4753750.582840083
FRUITBELT NEW CONSTRUCTION,"413 HIGH ST, BUFFALO, 14211",19930594-01318,0002126,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89997607,-78.85320503,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,2/17/1992,NEW,100.82-1-1.100,26,141,63,185404.972126571,4756914.031290535
FRUITBELT NEW CONSTRUCTION,"67 LEMON ST, BUFFALO, 14204",19930594-01318,0002132,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89619655,-78.86001412,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,9/1/1992,NEW,111.24-6-19,26,141,63,184829.70223594265,4756519.772950932
FRUITBELT NEW CONSTRUCTION,"77 LEMON ST, BUFFALO, 14204",19930594-01318,0002133,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89643934,-78.85991138,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,7/30/1991,NEW,111.24-6-22.11,26,141,63,184839.33030653547,4756546.353113372
FRUITBELT NEW CONSTRUCTION,"66 LEMON ST, BUFFALO, 14204",19930594-01318,0002137,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89618475,-78.86059608,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,3/14/1991,NEW,111.24-7-5.12,26,141,63,184782.11965940363,4756520.64509827
FRUITBELT NEW CONSTRUCTION,"70 LEMON ST, BUFFALO, 14204",19930594-01318,0002139,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89631824,-78.86055312,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,4/7/1992,NEW,111.24-7-5.13,26,141,63,184786.3087479344,4756535.310025533
FRUITBELT NEW CONSTRUCTION,"72 LOCUST ST, BUFFALO, 14204",19930594-01318,0002140,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89584096,-78.86172747,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,6/6/1991,NEW,111.24-8-6.14,26,141,63,184687.97685526963,4756486.706427914
FRUITBELT NEW CONSTRUCTION,"78 LOCUST ST, BUFFALO, 14204",19930594-01318,0002142,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.895961,-78.86168801,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,11/21/1991,NEW,111.24-8-6.13,26,141,63,184691.8117152932,4756499.890616575
FRUITBELT NEW CONSTRUCTION,"80 LOCUST ST, BUFFALO, 14204",19930594-01318,0002143,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89607705,-78.86165002,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,10/30/1991,NEW,111.24-8-6.12,26,141,63,184695.50616387627,4756512.6371728135
FRUITBELT NEW CONSTRUCTION,"105 PEACH ST, BUFFALO, 14204",19930594-01318,0002154,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89815595,-78.85732609,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,12/9/1991,NEW,111.25-3-38.11,26,141,63,185059.1923529512,4756727.316139775
FRUITBELT NEW CONSTRUCTION,"533 PERRY ST, BUFFALO, 14210",19930594-01318,0002156,,NA (Outside NYC),,36029016400,BUFFALO CITY SD,140600,42.87240586,-78.85761878,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,10/23/1991,NEW,122.33-5-1.11,26,142,63,184904.0536388771,4753868.483370994
FRUITBELT NEW CONSTRUCTION,"140 MULBERRY ST, BUFFALO, 14204",19930594-01318,0040202,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89728705,-78.8622783,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,12/18/1991,NEW,111.24-3-15.1,26,141,63,184650.3769509766,4756649.383294098
FRUITBELT NEW CONSTRUCTION,"386 MACKINAW ST, BUFFALO, 14210",19930594-01318,0040203,,NA (Outside NYC),,36029000500,BUFFALO CITY SD,140600,42.8681473,-78.85529818,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,7/30/1991,NEW,122.41-4-12,26,142,63,185071.9400069295,4753386.813374452
FRUITBELT NEW CONSTRUCTION,"69 MAPLE ST, BUFFALO, 14204",19930594-01318,0040204,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.8948587,-78.86350996,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,1/3/1991,NEW,111.32-2-21.11,26,141,63,184537.40447181772,4756384.301180514
FRUITBELT NEW CONSTRUCTION,"71 SIDWAY ST, BUFFALO, 14210",19930594-01318,0040207,,NA (Outside NYC),500-year,36029000500,BUFFALO CITY SD,140600,42.8676378,-78.85802017,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,1/22/1991,NEW,122.49-2-14.12,26,142,63,184846.96724326356,4753340.424686621
FRUITBELT NEW CONSTRUCTION,"97 ORANGE ST, BUFFALO, 14204",19930594-01318,0040210,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89743041,-78.85858204,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,6/23/1991,NEW,111.25-2-22.1,26,141,63,184952.93617885222,4756651.441792531
FRUITBELT NEW CONSTRUCTION,"765 WILLIAM ST, BUFFALO, 14206",19930594-01318,0040211,,NA (Outside NYC),,36029001700,BUFFALO CITY SD,140600,42.88485068,-78.84281264,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,7/16/1991,NEW,111.68-1-1.11,26,141,63,186176.7512390042,4755195.279426195
FRUITBELT NEW CONSTRUCTION,"82 ONEIDA ST, BUFFALO, 14206",19930594-01318,0041124,,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88247729,-78.84589056,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,7/8/1991,NEW,111.67-9-20.1,26,141,63,185913.30583768606,4754943.175467528
FRUITBELT NEW CONSTRUCTION,"115 ONEIDA ST, BUFFALO, 14206",19930594-01318,0041125,,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88176067,-78.84431001,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,11/21/1991,NEW,111.67-8-24.1,26,141,63,186038.76134942076,4754857.679877503
FRUITBELT NEW CONSTRUCTION,"11 SHERMAN ST, BUFFALO, 14206",19930594-01318,0041126,,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88378145,-78.84671568,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,9/9/1991,NEW,111.67-2-29.1,26,141,63,185852.53998829774,4755091.104974018
FRUITBELT NEW CONSTRUCTION,"12 SHERMAN ST, BUFFALO, 14206",19930594-01318,0041127,,NA (Outside NYC),,36029001500,BUFFALO CITY SD,140600,42.88376986,-78.8472009,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,10/15/1991,NEW,111.67-1-15.1,26,141,63,185812.85047112656,4755091.631241652
FRUITBELT NEW CONSTRUCTION,"38 PEACH ST, BUFFALO, 14204",19930594-01318,0041128,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89639766,-78.85847482,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,6/23/1992,NEW,111.25-11-3.12,26,141,63,184956.42562734085,4756536.337480298
FRUITBELT NEW CONSTRUCTION,"127 MAPLE ST, BUFFALO, 14204",19930594-01318,0041130,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89620476,-78.86301707,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,2/14/1991,NEW,111.24-9-37.12,26,141,63,184584.52568163804,4756531.951280277
FRUITBELT NEW CONSTRUCTION,"148 MULBERRY ST, BUFFALO, 14204",19930594-01318,0041132,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89748189,-78.86223767,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,8/20/1992,NEW,111.24-3-13,26,141,63,184654.68915280525,4756670.870736412
FRUITBELT NEW CONSTRUCTION,"222 MULBERRY ST, BUFFALO, 14204",19930594-01318,0041133,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.8995499,-78.86153932,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,6/22/1992,NEW,100.80-6-12.1,26,141,63,184722.26792471623,4756897.933978338
FRUITBELT NEW CONSTRUCTION,"205 LOCUST ST, BUFFALO, 14204",19930594-01318,0046245,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89931044,-78.86000305,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,9/8/1993,NEW,100.81-12-31.11,26,141,63,184846.49012780085,4756865.5756279575
FRUITBELT NEW CONSTRUCTION,"211 LOCUST ST, BUFFALO, 14204",19930594-01318,0046246,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89947945,-78.85995264,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,9/8/1993,NEW,100.81-12-31.12,26,141,63,184851.46849279554,4756884.157672038
FRUITBELT NEW CONSTRUCTION,"35 CAYUGA ST, BUFFALO, 14211",19930594-01318,0046247,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.8990949,-78.85250064,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,9/21/1992,NEW,100.82-3-8.12,26,141,63,185458.00224530027,4756813.527379282
FRUITBELT NEW CONSTRUCTION,"26 PEACH ST, BUFFALO, 14204",19930594-01318,0046248,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89611068,-78.85857855,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,8/12/1992,NEW,111.25-11-7.1,26,141,63,184946.49185048172,4756504.852927829
FRUITBELT NEW CONSTRUCTION,"167 LOCUST ST, BUFFALO, 14204",19930594-01318,0046908,,NA (Outside NYC),,36029003100,BUFFALO CITY SD,140600,42.89820917,-78.86037849,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,7/6/1992,NEW,111.24-5-36.21,26,141,63,184810.21533182968,4756744.67116378
FRUITBELT NEW CONSTRUCTION,"30 ORANGE ST, BUFFALO, 14204",19930594-01318,0064348,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89574211,-78.85971395,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,1/15/1991,NEW,111.24-6-12.12,26,141,63,184851.8960295114,4756468.17488588
FRUITBELT NEW CONSTRUCTION,"347 FULTON ST, BUFFALO, 14204",19930594-01318,0064349,,NA (Outside NYC),,36029016400,BUFFALO CITY SD,140600,42.87148598,-78.85838704,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,4/23/1992,NEW,122.32-3-18.2,26,141,63,184836.6058965617,4753769.196722171
FRUITBELT NEW CONSTRUCTION,"106 MULBERRY ST, BUFFALO, 14204",19930594-01318,0064350,,NA (Outside NYC),,36029002502,BUFFALO CITY SD,140600,42.89626936,-78.86262274,ERIE,36,CITY OF BUFFALO URBAN RENEWAL AGENCY,36,1,2/18/1992,NEW,111.24-9-5.1,26,141,63,184617.05608837813,4756537.646128794
GANANDA SENIOR APARTMENTS,"3503 CANANDAIGUA RD, WALWORTH, 14502",20080007-01690,0179516,HOME LEASING LLC,NA (Outside NYC),,36117020202,GANANDA CSD,650902,43.13123752,-77.32364111,WAYNE,62,GANANDA SENIOR ASSOCIATES LLC,1,62,11/24/2009,NEW,54440062114-00-269177,24,130,54,311003.96728857566,4778009.506995949
GANSETT MEADOW (AMG 531),"531 MONTAUK HWY, EAST HAMPTON, 11930",20176045-02128,0255596,GANSETT MEADOW HDFC,NA (Outside NYC),,36103201006,AMAGANSETT UFSD,580303,40.97945509,-72.12552729,SUFFOLK,37,GANSETT MEADOW LLC,7,8,10/29/2020,NEW,172.00-2-33.1,1,1,1,741836.9844940903,4540456.434428366
GANSETT MEADOW (AMG 531),"531 MONTAUK HWY, EAST HAMPTON, 11930",20176045-02128,0255597,GANSETT MEADOW HDFC,NA (Outside NYC),,36103201006,AMAGANSETT UFSD,580303,40.97945509,-72.12552729,SUFFOLK,37,GANSETT MEADOW LLC,7,4,10/29/2020,NEW,172.00-2-33.1,1,1,1,741836.9844940903,4540456.434428366
GANSETT MEADOW (AMG 531),"531 MONTAUK HWY, EAST HAMPTON, 11930",20176045-02128,0255598,GANSETT MEADOW HDFC,NA (Outside NYC),,36103201006,AMAGANSETT UFSD,580303,40.97945509,-72.12552729,SUFFOLK,37,GANSETT MEADOW LLC,7,8,10/29/2020,NEW,172.00-2-33.1,1,1,1,741836.9844940903,4540456.434428366
GANSETT MEADOW (AMG 531),"531 MONTAUK HWY, EAST HAMPTON, 11930",20176045-02128,0255599,GANSETT MEADOW HDFC,NA (Outside NYC),,36103201006,AMAGANSETT UFSD,580303,40.97945509,-72.12552729,SUFFOLK,37,GANSETT MEADOW LLC,7,1,10/29/2020,NEW,172.00-2-33.1,1,1,1,741836.9844940903,4540456.434428366
GANSETT MEADOW (AMG 531),"531 MONTAUK HWY, EAST HAMPTON, 11930",20176045-02128,0255600,GANSETT MEADOW HDFC,NA (Outside NYC),,36103201006,AMAGANSETT UFSD,580303,40.97945509,-72.12552729,SUFFOLK,37,GANSETT MEADOW LLC,7,8,10/29/2020,NEW,172.00-2-33.1,1,1,1,741836.9844940903,4540456.434428366
GANSETT MEADOW (AMG 531),"531 MONTAUK HWY, EAST HAMPTON, 11930",20176045-02128,0255601,GANSETT MEADOW HDFC,NA (Outside NYC),,36103201006,AMAGANSETT UFSD,580303,40.97945509,-72.12552729,SUFFOLK,37,GANSETT MEADOW LLC,7,4,10/29/2020,NEW,172.00-2-33.1,1,1,1,741836.9844940903,4540456.434428366
GANSETT MEADOW (AMG 531),"531 MONTAUK HWY, EAST HAMPTON, 11930",20176045-02128,0255602,GANSETT MEADOW HDFC,NA (Outside NYC),,36103201006,AMAGANSETT UFSD,580303,40.97945509,-72.12552729,SUFFOLK,37,GANSETT MEADOW LLC,7,4,10/29/2020,NEW,172.00-2-33.1,1,1,1,741836.9844940903,4540456.434428366
GARDEN ST. REVIT. PROJECT - PHASE I,"73 GARDEN ST, POUGHKEEPSIE, 12601",19970306-00891,0078003,HUDSON RIVER HOUSING INC.,NA (Outside NYC),,36027220201,POUGHKEEPSIE CITY SD,131500,41.70638366,-73.92557255,DUTCHESS,25,GARDEN STREET LP,3,11,5/31/2000,REHAB,1313006162-70-128187-0000,18,104,39,589390.0158098888,4617734.831955722
GARDEN ST. REVIT. PROJECT - PHASE I,"73A GARDEN ST, POUGHKEEPSIE, 12601",19970306-00891,0078004,HUDSON RIVER HOUSING INC.,NA (Outside NYC),,36027220201,POUGHKEEPSIE CITY SD,131500,41.70669426,-73.92568564,DUTCHESS,25,GARDEN STREET LP,3,8,5/31/2000,REHAB,1313006162-70-128187-0000,18,104,39,589380.176599523,4617769.199061803
GARDEN ST. REVIT. PROJECT - PHASE I,"75/75A GARDEN ST, POUGHKEEPSIE, 12601",19970306-00891,0078005,HUDSON RIVER HOUSING INC.,NA (Outside NYC),,36027220201,POUGHKEEPSIE CITY SD,131500,41.70669426,-73.92568564,DUTCHESS,25,GARDEN STREET LP,3,6,5/31/2000,REHAB,1313006162-70-128187-0000,18,104,39,589380.176599523,4617769.199061803
GARDNER PLAZA,"124-20 JAMAICA AVE, QUEENS, 11418",20040509-01670,0132813,MHANY MANAGEMENT INC,4539431,,36081014201,NYC GEOG DIST #28 - QUEENS,342800,40.700559,-73.825713,QUEENS,27,GARDNER OWNERS LLC,1,27,8/27/2007,NEW,4-9333-7,5,24,15,599205.9880400129,4506180.1313533755
GARITO MANOR AT UNION SQUARE,"180 UNION AVE, NEW ROCHELLE, 10801",20060446-01790,0155076,NEW ROCHELLE REVITLIZATION CORP.,NA (Outside NYC),,36119006200,NEW ROCHELLE CITY SD,661100,40.90959839,-73.79279779,WESTCHESTER,102,180 UNION AVE OWNER L.P.,1,102,11/23/2008,NEW,4.00-1272-27,16,91,34,601667.2327684038,4529423.1540228985
GARVIES POINT - GGV BLOCK G,"700 DICKSON ST, GLEN COVE, 11542",20200227-02234,0263999,GEORGICA PROPERTY MANAGEMENT_LLC,NA (Outside NYC),,36059517101,GLEN COVE CITY SD,280100,40.86339593,-73.64038661,NASSAU,55,GARVIES POINT WORKFORCE LLC,2,24,6/29/2023,NEW,31.00-G-619,3,13,7,614582.8913524515,4524482.454905821
GARVIES POINT - GGV BLOCK G,"500 DICKSON ST, GLEN COVE, 11542",20200227-02234,0264000,GEORGICA PROPERTY MANAGEMENT_LLC,NA (Outside NYC),,36059517101,GLEN COVE CITY SD,280100,40.86284485,-73.64017301,NASSAU,55,GARVIES POINT WORKFORCE LLC,2,31,5/30/2023,NEW,31.00-G-619,3,13,7,614601.8433226767,4524421.558300138
GATEWAY TO NEW CASSEL,"701 PROSPECT AVE, NORTH HEMPSTEAD, 11590",20050958-01604,0142516,"NHE MANAGEMENT ASSOC., LLC",NA (Outside NYC),,36059304204,WESTBURY UFSD,280401,40.76178762,-73.57441528,NASSAU,57,"BLUE CASSEL SITE A REALTY, LLC",1,57,12/30/2008,NEW,28220011.-100-123.249/1,3,13,6,620326.3276464087,4513291.252893549
GDZ HOMES,"417 MASSACHUSETTS AVE, BUFFALO, 14213",20166052-02193,0249827,,NA (Outside NYC),,36029006601,BUFFALO CITY SD,140600,42.91313942,-78.88663117,ERIE,9,417 HOUSING DEVELOPMENT FUND COMPANY INC,1,9,10/17/2021,REHAB,99.44-9-7,26,149,63,182743.20830237266,4758501.706749695
GENESEE CROSSING,"100 HOBART ST, UTICA, 13501",20116050-01899,0211002,"HOUSING VISIONS CONSULTANTS, INC.",NA (Outside NYC),,36065026400,UTICA CITY SD,412300,43.09479271,-75.24298502,ONEIDA,33,"GENESEE CROSSING, LLC",13,9,2/27/2014,NEW,318.65-2-35,22,119,53,480225.1605830647,4771370.100653278
GENESEE CROSSING,"1502-1504 ONEIDA ST, UTICA, 13501",20116050-01899,0211004,"HOUSING VISIONS CONSULTANTS, INC.",NA (Outside NYC),,36065026400,UTICA CITY SD,412300,43.09209091,-75.24536358,ONEIDA,33,"GENESEE CROSSING, LLC",13,2,6/25/2013,NEW,318.72-2-6,22,119,53,480030.70843897434,4771070.628865222
GENESEE CROSSING,"1422-1424 KEMBLE ST, UTICA, 13501",20116050-01899,0211005,"HOUSING VISIONS CONSULTANTS, INC.",NA (Outside NYC),,36065026400,UTICA CITY SD,412300,43.09358269,-75.24217543,ONEIDA,33,"GENESEE CROSSING, LLC",13,2,11/12/2013,NEW,318.65-2-22,22,119,53,480290.65940417896,4771235.537104319
GENESEE CROSSING,"1321-1323 FRANCIS ST, UTICA, 13502",20116050-01899,0211006,"HOUSING VISIONS CONSULTANTS, INC.",NA (Outside NYC),,36065021104,UTICA CITY SD,412300,43.09659122,-75.24641559,ONEIDA,33,"GENESEE CROSSING, LLC",13,2,7/30/2013,NEW,318.56-2-30,22,119,53,479946.5574036452,4771570.640250571
