Address,Assembly District (current),BIN (NYC DOB),Building ID,Congressional District (current),County,Floodplain,Housing Company name,HID,Latitude,Longitude,Management Email,Management Name,Management Phone,BBL / Parcel ID,School district name,School district SDL code,State Senate District (current),Status,Total project units,Tract GEOID '20,x,y
"134-37 166 Pl, Queens, 11434-3855",32,4436352,0018B,5,Queens,,"Rochdale Village, Inc.",H025,40.6738323,-73.77317155,MScott@rochdalevillage.com ,"Marion Scott Real Estate, Inc.",(718) 276-5700,4124950002,NYC GEOG DIST #28 - QUEENS,342800,10,Active,5860,36081033404,-8212392.043799996,4964351.602400005
"134-35 166 Pl, Queens, 11434-3855",32,4436352,0018C,5,Queens,,"Rochdale Village, Inc.",H025,40.67409809,-73.77307845,MScott@rochdalevillage.com ,"Marion Scott Real Estate, Inc.",(718) 276-5700,4124950002,NYC GEOG DIST #28 - QUEENS,342800,10,Active,5860,36081033404,-8212381.679999998,4964390.614100002
"134-45 166 Pl, Queens, 11434-3854",32,4436353,0019A,5,Queens,,"Rochdale Village, Inc.",H025,40.67295632,-73.77313432,MScott@rochdalevillage.com ,"Marion Scott Real Estate, Inc.",(718) 276-5700,4124950002,NYC GEOG DIST #28 - QUEENS,342800,10,Active,5860,36081033404,-8212387.8993999995,4964223.030500002
"134-47 166 Pl, Queens, 11434-3854",32,4436353,0019B,5,Queens,,"Rochdale Village, Inc.",H025,40.67286094,-73.77277371,MScott@rochdalevillage.com ,"Marion Scott Real Estate, Inc.",(718) 276-5700,4124950002,NYC GEOG DIST #28 - QUEENS,342800,10,Active,5860,36081033404,-8212347.7565,4964209.031300001
"134-49 166 Pl, Queens, 11434-3854",32,4436353,0019C,5,Queens,,"Rochdale Village, Inc.",H025,40.67277898,-73.77236429,MScott@rochdalevillage.com ,"Marion Scott Real Estate, Inc.",(718) 276-5700,4124950002,NYC GEOG DIST #28 - QUEENS,342800,10,Active,5860,36081033404,-8212302.18,4964197.001700006
"134-19 166 Pl, Queens, 11434-3847",32,4436350,0020A,5,Queens,,"Rochdale Village, Inc.",H025,40.67287473,-73.77409791,MScott@rochdalevillage.com ,"Marion Scott Real Estate, Inc.",(718) 276-5700,4124950002,NYC GEOG DIST #28 - QUEENS,342800,10,Active,5860,36081033404,-8212495.165799996,4964211.055300012
"134-17 166 Pl, Queens, 11434-3847",32,4436350,0020B,5,Queens,,"Rochdale Village, Inc.",H025,40.67259665,-73.77423736,MScott@rochdalevillage.com ,"Marion Scott Real Estate, Inc.",(718) 276-5700,4124950002,NYC GEOG DIST #28 - QUEENS,342800,10,Active,5860,36081033404,-8212510.689299999,4964170.240500003
"134-15 166 Pl, Queens, 11434-3847",32,4436350,0020C,5,Queens,,"Rochdale Village, Inc.",H025,40.67231569,-73.7743762,MScott@rochdalevillage.com ,"Marion Scott Real Estate, Inc.",(718) 276-5700,4124950002,NYC GEOG DIST #28 - QUEENS,342800,10,Active,5860,36081033404,-8212526.144899996,4964129.003200009
"775 Concourse Vlg E, Bronx, 10451-3805",79,2093927,00001,15,Bronx,,Concourse Village,H028,40.82351136,-73.91995014,JWashington@prestigemgt.com ,"Prestige Management, Inc.",(718) 588-2200,2024430170,NYC GEOG DIST # 7 - BRONX,320700,29,Active,1883,36005006100,-8228731.367999999,4986345.59740001
"779 Concourse Vlg E, Bronx, 10451-3903",79,2116939,00002,15,Bronx,,Concourse Village,H028,40.8240601,-73.92006313,JWashington@prestigemgt.com ,"Prestige Management, Inc.",(718) 588-2200,2024430170,NYC GEOG DIST # 7 - BRONX,320700,32,Active,1883,36005006100,-8228743.945999999,4986426.32100001
"800 Concourse Vlg W, Bronx, 10451-3903",79,2101572,00003,15,Bronx,,Concourse Village,H028,40.82479493,-73.92215923,JWashington@prestigemgt.com ,"Prestige Management, Inc.",(718) 588-2200,2024430080,NYC GEOG DIST # 7 - BRONX,320700,32,Active,1883,36005006100,-8228977.282800002,4986534.42090001
"790 Concourse Vlg W, Bronx, 10451-3903",79,2101571,00004,15,Bronx,,Concourse Village,H028,40.824274,-73.922371,JWashington@prestigemgt.com ,"Prestige Management, Inc.",(718) 588-2200,2024430080,NYC GEOG DIST # 7 - BRONX,320700,29,Active,1883,36005006100,-8229000.856999999,4986457.7874
"780 Concourse Vlg W, Bronx, 10451-3903",79,2002455,00005,15,Bronx,,Concourse Village,H028,40.82379543,-73.92270892,JWashington@prestigemgt.com ,"Prestige Management, Inc.",(718) 588-2200,2024430080,NYC GEOG DIST # 7 - BRONX,320700,29,Active,1883,36005006100,-8229038.474099997,4986387.386100002
"773 Concourse Vlg E, Bronx, 10451-3903",79,2093926,00006,15,Bronx,,Concourse Village,H028,40.82300827,-73.92021622,JWashington@prestigemgt.com ,"Prestige Management, Inc.",(718) 588-2200,2024430170,NYC GEOG DIST # 7 - BRONX,320700,29,Active,1883,36005006100,-8228760.987900002,4986271.5898
"3900 Bailey Ave, Bronx, 10463-2724",81,2016021,03900,13,Bronx,,"Orloff Towers, Inc.",H029,40.88513036,-73.89543518,Jarcelin@Matthewadam.com,"Matthew Adam Properties, Inc.",(212) 699-8910,2032630085,NYC GEOG DIST #10 - BRONX,321000,31,Active,189,36005027900,-8226002.374699997,4995414.375200003
"240 Nagle Ave, Manhattan, 10034-4101",72,1064728,00240,13,New York,500-year,"Nagle House, Inc.",H030,40.86315562,-73.92099635,kpacheco@metromanagementdev.com ,"Metro Management Development, Inc.",(718) 706-7755,1022180025,NYC GEOG DIST # 6 - MANHATTAN,310600,31,Active,180,36061029100,-8228847.831800001,4992179.274500012
"3260 Cruger Ave, Bronx, 10467-6423",80,2056289,03260,15,Bronx,,Oak Drive Mutual Hsg. Co.,H031,40.87298878,-73.86597421,smoseley-butcher@prestigemgt.com ,"Prestige Management, Inc.",(718) 665-9105,2045990017,NYC GEOG DIST #11 - BRONX,321100,36,Active,100,36005037200,-8222722.793299995,4993626.770600006
"45 Fairview Ave, Manhattan, 10040-2718",72,1064114,00001,13,New York,,"Inwood Gardens, Inc.",H042,40.85755539,-73.9296807,KPacheco@metromanagementdev.com ,"Metro Management Development, Inc.",(212) 942-5240,1021700520,NYC GEOG DIST # 6 - MANHATTAN,310600,31,Active,218,36061028300,-8229814.569499996,4991354.9855
"11 Fort George Hl, Manhattan, 10040-2511",72,1064066,00011,13,New York,,"Inwood Tower, Inc.",H043,40.85751519,-73.92813798,npirani@metromanagementdev.com ,"Metro Management Development, Inc.",(212) 567-0284,1021700129,NYC GEOG DIST # 6 - MANHATTAN,310600,31,Active,190,36061028300,-8229642.8347,4991349.068700016
"626 Riverside Dr, Manhattan, 10031-7201",70,1062307,00626,13,New York,,"River View Towers, Inc.",H044,40.82364554,-73.95443056,TJenkins@prestigemgt.com ,"Prestige Management, Inc.",(212) 281-1767,1020870078,NYC GEOG DIST # 6 - MANHATTAN,310600,30,Active,385,36061022500,-8232569.711999999,4986365.336000003
"212 Babbitt Rd, Bedford, 10507-2017",93,,00001,17,Westchester,,"Fellowship Hall, inc.",H045,41.24023452,-73.68644059,fellowshiphall@optonline.net ,"Fellowship Hall, Inc.",(914) 666-0206,,BEDFORD CSD,660102,40,Active,71,36119012804,-8202737.198299997,5047842.2776999995
"212 Babbitt Rd, Bedford, 10507-2017",93,,00002,17,Westchester,,"Fellowship Hall, inc.",H045,41.24023452,-73.68644059,fellowshiphall@optonline.net ,"Fellowship Hall, Inc.",(914) 666-0206,,BEDFORD CSD,660102,40,Active,71,36119012804,-8202737.198299997,5047842.2776999995
"212 Babbitt Rd, Bedford, 10507-2017",93,,00003,17,Westchester,,"Fellowship Hall, inc.",H045,41.24023452,-73.68644059,fellowshiphall@optonline.net ,"Fellowship Hall, Inc.",(914) 666-0206,,BEDFORD CSD,660102,40,Active,71,36119012804,-8202737.198299997,5047842.2776999995
"212 Babbitt Rd, Bedford, 10507-2017",93,,00004,17,Westchester,,"Fellowship Hall, inc.",H045,41.24023452,-73.68644059,fellowshiphall@optonline.net ,"Fellowship Hall, Inc.",(914) 666-0206,,BEDFORD CSD,660102,40,Active,71,36119012804,-8202737.198299997,5047842.2776999995
"212 Babbitt Rd, Bedford, 10507-2017",93,,00005,17,Westchester,,"Fellowship Hall, inc.",H045,41.24023452,-73.68644059,fellowshiphall@optonline.net ,"Fellowship Hall, Inc.",(914) 666-0206,,BEDFORD CSD,660102,40,Active,71,36119012804,-8202737.198299997,5047842.2776999995
"212 Babbitt Rd, Bedford, 10507-2017",93,,00006,17,Westchester,,"Fellowship Hall, inc.",H045,41.24023452,-73.68644059,fellowshiphall@optonline.net ,"Fellowship Hall, Inc.",(914) 666-0206,,BEDFORD CSD,660102,40,Active,71,36119012804,-8202737.198299997,5047842.2776999995
"212 Babbitt Rd, Bedford, 10507-2017",93,,00007,17,Westchester,,"Fellowship Hall, inc.",H045,41.24023452,-73.68644059,fellowshiphall@optonline.net ,"Fellowship Hall, Inc.",(914) 666-0206,,BEDFORD CSD,660102,40,Active,71,36119012804,-8202737.198299997,5047842.2776999995
"212 Babbitt Rd, Bedford, 10507-2017",93,,00008,17,Westchester,,"Fellowship Hall, inc.",H045,41.24023452,-73.68644059,fellowshiphall@optonline.net ,"Fellowship Hall, Inc.",(914) 666-0206,,BEDFORD CSD,660102,40,Active,71,36119012804,-8202737.198299997,5047842.2776999995
"2820 Ocean Pkwy, Brooklyn, 11235-7958",46,3320735,00001,8,Kings,100-year,Amalgamated Warbasse Hse,H047,40.58114229,-73.96793436,tauletti@awh-inc.com ,Amalgamated Warbasse Houses,(718) 266-9000,3072530001,NYC GEOG DIST #21 - BROOKLYN,332100,23,Active,2595,36047035601,-8234072.947000001,4950756.386700004
"425 Neptune Ave, Brooklyn, 11224-4559",46,3320734,00002,8,Kings,100-year,Amalgamated Warbasse Hse,H047,40.58045929,-73.96982865,tauletti@awh-inc.com ,Amalgamated Warbasse Houses,(718) 266-9000,3072530001,NYC GEOG DIST #21 - BROOKLYN,332100,23,Active,2595,36047035601,-8234283.818500001,4950656.278300002
"2765 5 St, Brooklyn, 11224-4702",46,,00003,8,Kings,100-year,Amalgamated Warbasse Hse,H047,40.58086458,-73.97097306,tauletti@awh-inc.com ,Amalgamated Warbasse Houses,(718) 266-9000,3072530001,NYC GEOG DIST #21 - BROOKLYN,332100,23,Active,2595,36047035601,-8234411.2135999985,4950715.682200007
"2770 5 St, Brooklyn, 11224",46,,00004,8,Kings,100-year,Amalgamated Warbasse Hse,H047,40.58101067,-73.97223141,tauletti@awh-inc.com ,Amalgamated Warbasse Houses,(718) 266-9000,3072530001,NYC GEOG DIST #21 - BROOKLYN,332100,23,Active,2595,36047035400,-8234551.292599997,4950737.094800003
"525 Neptune Ave, Brooklyn, 11224",46,3257104,00005,8,Kings,100-year,Amalgamated Warbasse Hse,H047,40.58105394,-73.97326765,tauletti@awh-inc.com ,Amalgamated Warbasse Houses,(718) 266-9000,3072500001,NYC GEOG DIST #21 - BROOKLYN,332100,23,Active,2595,36047035400,-8234666.646299997,4950743.436999999
"1400 S Plymouth Ave, Rochester, 14609-2457",137,,01400,25,Monroe,,"Plymouth Gardens, Inc.",H053,43.13195147,-77.634555,Jgabbey@plymouthgardensapartments.com ,"Rochester Management, Inc.",(585) 235-6010,,ROCHESTER CITY SD,261600,56,Active,230,36055006900,-8642239.440099997,5332079.1285
"1720 Mayflower Ave, Bronx, 10461-4406",82,2045913,00001,14,Bronx,,"Mayflower Terrace, Inc.",H055,40.84645596,-73.83421252,LDeluca@centuryny.com ,"Century Management Services, Inc.",(212) 560-6400,2041620002,NYC GEOG DIST # 8 - BRONX,320800,34,Active,120,36005026601,-8219187.096900001,4989721.484400012
"65-25 160 St, Queens, 11365-2567",27,4440185,00001,6,Queens,,Electchester Fifth Hsg Co,H062C,40.73628695,-73.80827047,acaiozzo@electmgt.com ,Electchester Fifth Houses,(718) 591-4242,4067910025,NYC GEOG DIST #25 - QUEENS,342500,16,Active,184,36081122703,-8216299.2393999975,4973522.735600002
"65-24 162 St, Queens, 11365-2656",27,4440184,00002,6,Queens,,Electchester Fifth Hsg Co,H062C,40.73625509,-73.80706176,acaiozzo@electmgt.com ,Electchester Fifth Houses,(718) 591-4242,4067910025,NYC GEOG DIST #25 - QUEENS,342500,16,Active,184,36081122703,-8216164.686399996,4973518.054900005
"753 Classon Ave, Brooklyn, 11238-4647",57,3029254,00001,9,Kings,,Jewish Hosp. of Brooklyn,H063,40.67461843,-73.95996581,peterv@nbmgmt.com ,"New Bedford Management, Corp.",(718) 398-4175,3011680006,NYC GEOG DIST #17 - BROOKLYN,331700,20,Active,142,36047021700,-8233185.892400002,4964466.987100013
"45-25 Kissena Blvd, Queens, 11355-3435",25,4117390,01050,6,Queens,, Kissena l / Fellowship Fund,H065,40.75194183,-73.82010562,,Douglas Elliman Property Management,,4052000052,NYC GEOG DIST #25 - QUEENS,342500,16,HFA MOU (shared with HFA),135,36081120500,-8217616.7228000015,4975822.920500003
"2 Sunnyside Dr, Yonkers, 10705-1762",89,,00002,16,Westchester,,Sunnyside Manor Ltd. Hsg.,H066,40.92328435,-73.90376895,Ajuarbe@metromanagementdev.com ,"Metro Management Development, Inc.",(718) 423-7599,,YONKERS CITY SD,662300,35,Active,121,36119000202,-8226930.086199995,5001033.922700018
"750 Faile St, Bronx, 10474-7232",84,2006555,00750,14,Bronx,,Carnes McKinney Hsg. Co.,H070,40.81601548,-73.8866733,tene@aol.com,BSR Management Corp.,(718) 542-4558,2027630227,NYC GEOG DIST # 8 - BRONX,320800,29,Active,111,36005011701,-8225027.005899996,4985242.966400005
"3800 Waldo Ave, Bronx, 10463-2104",81,2084027,00001,15,Bronx,,Waldo Apartments Hsg. Co.,H073,40.88713801,-73.90375868,VBlomberg@metromanagementdev.com ,"Metro Management Development, Inc.",(718) 706-7755,2057770772,NYC GEOG DIST #10 - BRONX,321000,31,Active,171,36005028500,-8226928.9427000005,4995709.993100002
"1340 Stratford Ave, Bronx, 10472-1644",85,2027509,00002,14,Bronx,,"Stratford Towers, Inc.",H078,40.83314733,-73.87581652,cbowman@twmt.net ,"Wave Crest Management Group, LLC",(718) 412-3713,2038670023,NYC GEOG DIST #12 - BRONX,321200,34,Active,129,36005006200,-8223818.434399996,4987763.215599999
"175 S Swan St, Albany, 12210-1633",109,,00001,20,Albany,,Executive House Apartment,H080,42.64831721,-73.76455683,exehouse@nycap.rr.com,Albany Executive House,(518) 434-4121,,ALBANY CITY SD,010100,46,Active,160,36001002200,-8211433.071199998,5258595.728
"Townhouses Broun Pl, Bronx, 10475-3601",82,,00043,14,Bronx,,Riverbay Corp.,H081,40.87331803,-73.8268726,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046204,-8218370.020599997,4993675.242000006
"140 DeKruif Pl, Bronx, 10475-2201",82,2095389,00006,14,Bronx,,Riverbay Corp.,H081,40.875448,-73.829446,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046206,-8218656.490300002,4993988.815300003
"120 DeKruif Pl, Bronx, 10475-2302",82,2096813,00007,14,Bronx,,Riverbay Corp.,H081,40.874987,-73.829176,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046206,-8218626.4339999985,4993920.946199998
"100 DeKruif Pl, Bronx, 10475-2402",82,2096812,00008,14,Bronx,,Riverbay Corp.,H081,40.875552,-73.82869,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046206,-8218572.332799999,4994004.126400009
"120 Alcott Pl, Bronx, 10475-4201",82,2095393,00017,14,Bronx,,Riverbay Corp.,H081,40.8720001,-73.8306012,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046205,-8218785.086599998,4993481.221900001
"100 Alcott Pl, Bronx, 10475-4102",82,2095392,00018,14,Bronx,,Riverbay Corp.,H081,40.87210568,-73.82986573,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046205,-8218703.214399995,4993496.764800012
"140 Alcott Pl, Bronx, 10475-4302",82,2095394,00019,14,Bronx,,Riverbay Corp.,H081,40.87256223,-73.8301116,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046205,-8218730.584600002,4993563.975800008
"920 Baychester Ave, Bronx, 10475-1700",82,2128810,0001A,14,Bronx,,Riverbay Corp.,H081,40.87716122,-73.83318299,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8219072.4903,4994241.042100012
"900 Baychester Ave, Bronx, 10475-1704",82,2095386,0001B,14,Bronx,,Riverbay Corp.,H081,40.87690507,-73.83333427,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8219089.330699997,4994203.330300011
"900 Co-op City Blvd, Bronx, 10475-1605",82,2095387,0002A,14,Bronx,,Riverbay Corp.,H081,40.87819417,-73.83047548,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218771.091600001,4994393.120200008
"920 Co-op City Blvd, Bronx, 10475-1619",82,2128851,0002B,14,Bronx,,Riverbay Corp.,H081,40.87830387,-73.83081051,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218808.386899998,4994409.2711
"150 Dreiser Loop, Bronx, 10475-1931",82,2095391,0003A,14,Bronx,,Riverbay Corp.,H081,40.87685673,-73.83006929,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218725.874699995,4994196.213500001
"170 Dreiser Loop, Bronx, 10475-1902",82,2128850,0003B,14,Bronx,,Riverbay Corp.,H081,40.87710701,-73.82992454,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218709.761199998,4994233.061000012
"Townhouses Debs Pl, Bronx, 10475-2572",82,,00042,14,Bronx,,Riverbay Corp.,H081,40.87614803,-73.82813203,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046206,-8218510.219799997,4994091.87560001
"Townhouses Defoe Pl, Bronx, 10475-2101",82,,00045,14,Bronx,,Riverbay Corp.,H081,40.87626926,-73.83065315,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218790.869699998,4994109.723500006
"Townhouses Asch Loop, Bronx, 10475-4564",82,,00046,14,Bronx,,Riverbay Corp.,H081,40.87128426,-73.8311441,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046205,-8218845.522,4993375.840600006
"140 Donizetti Pl, Bronx, 10475-2046",82,2128847,0004A,14,Bronx,,Riverbay Corp.,H081,40.87609136,-73.83261823,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8219009.6215,4994083.532400012
"120 Donizetti Pl, Bronx, 10475-2024",82,2128846,0004B,14,Bronx,,Riverbay Corp.,H081,40.876046,-73.8322525,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218968.908599995,4994076.854400009
"100 Donizetti Pl, Bronx, 10475-2002",82,2095390,0004C,14,Bronx,,Riverbay Corp.,H081,40.8758628,-73.83194349,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218934.5097,4994049.88310001
"100 Darrow Pl, Bronx, 10475-1872",82,2095388,0005A,14,Bronx,,Riverbay Corp.,H081,40.87726566,-73.8313214,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218865.259,4994256.418400012
"120 Darrow Pl, Bronx, 10475-1826",82,2128848,0005B,14,Bronx,,Riverbay Corp.,H081,40.87732117,-73.83171577,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218909.160099998,4994264.590900004
"140 Darrow Pl, Bronx, 10475-1802",82,2128849,0005C,14,Bronx,,Riverbay Corp.,H081,40.87750902,-73.83203077,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046207,-8218944.2257,4994292.247400001
"100 Aldrich St, Bronx, 10475-4532",82,2095395,0015A,14,Bronx,,Riverbay Corp.,H081,40.8707535,-73.83218779,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046205,-8218961.704999996,4993297.706300005
"120 Aldrich St, Bronx, 10475-4502",82,2128836,0015B,14,Bronx,,Riverbay Corp.,H081,40.87062684,-73.83186892,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046205,-8218926.208599998,4993279.060500003
"620 Baychester Ave, Bronx, 10475-4402",82,2128837,0016A,14,Bronx,,Riverbay Corp.,H081,40.87206064,-73.83271365,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046205,-8219020.243499998,4993490.134199999
"600 Baychester Ave, Bronx, 10475-4431",82,2095397,0016B,14,Bronx,,Riverbay Corp.,H081,40.87186365,-73.83278547,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046205,-8219028.238499999,4993461.134500019
"120 Casals Pl, Bronx, 10475-3102",82,2096808,00012,14,Bronx,500-year,Riverbay Corp.,H081,40.87842263,-73.82386249,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218034.936599996,4994426.756000012
"100 Casals Pl, Bronx, 10475-3002",82,2096807,00013,14,Bronx,500-year,Riverbay Corp.,H081,40.87907346,-73.82364069,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218010.245999996,4994522.577300012
"140 Casals Pl, Bronx, 10475-3202",82,2096809,00014,14,Bronx,500-year,Riverbay Corp.,H081,40.87893538,-73.82426108,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218079.307500001,4994502.247700013
"140 Benchley Pl, Bronx, 10475-3502",82,2096755,00023,14,Bronx,500-year,Riverbay Corp.,H081,40.87420627,-73.8261974,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046204,-8218294.8577,4993806.007100001
"120 Benchley Pl, Bronx, 10475-3402",82,2096754,00024,14,Bronx,500-year,Riverbay Corp.,H081,40.8742987,-73.82544592,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046204,-8218211.203299999,4993819.614600003
"100 Benchley Pl, Bronx, 10475-3302",82,2096753,00025,14,Bronx,500-year,Riverbay Corp.,H081,40.8747693,-73.82570978,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046204,-8218240.576099999,4993888.896300003
"Townhouses Cooper Pl, Bronx, 10475-2801",82,,00041,14,Bronx,500-year,Riverbay Corp.,H081,40.87699967,-73.82512945,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218175.973999999,4994217.2579
"Townhouses Adler Pl, Bronx, 10475-2901",82,,00044,14,Bronx,500-year,Riverbay Corp.,H081,40.87206045,-73.82777709,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046204,-8218470.707999999,4993490.106300011
"100 Dreiser Loop, Bronx, 10475-2632",82,2096814,0009A,14,Bronx,500-year,Riverbay Corp.,H081,40.87764019,-73.82762126,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218453.361099998,4994311.559100002
"120 Dreiser Loop, Bronx, 10475-2602",82,2128852,0009B,14,Bronx,500-year,Riverbay Corp.,H081,40.87738341,-73.82777473,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218470.445300002,4994273.754299998
"140 Debs Pl, Bronx, 10475-2546",82,2128856,0010A,14,Bronx,500-year,Riverbay Corp.,H081,40.87625985,-73.82644454,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218322.369199999,4994108.33820001
"120 Debs Pl, Bronx, 10475-2526",82,2128855,0010B,14,Bronx,500-year,Riverbay Corp.,H081,40.87644659,-73.82675875,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218357.346900001,4994135.830800012
"100 Debs Pl, Bronx, 10475-2502",82,2096811,0010C,14,Bronx,500-year,Riverbay Corp.,H081,40.87650389,-73.82715992,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218402.004999999,4994144.266700007
"100 Carver Loop, Bronx, 10475-2922",82,2096806,0011A,14,Bronx,500-year,Riverbay Corp.,H081,40.87773954,-73.82574938,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218244.984299997,4994326.186100006
"120 Carver Loop, Bronx, 10475-2902",82,2128853,0011B,14,Bronx,500-year,Riverbay Corp.,H081,40.87779223,-73.82614118,bklehammer@riverbaycorp.com ,Douglas Elliman Property Management,(718) 320-3300,2051410120,NYC GEOG DIST #11 - BRONX,321100,36,Active,15372,36005046203,-8218288.599300003,4994333.943500012
